Region,District,Chiefdom,Section,wp name,GEOCODE,Photo,wp type,wp_func,wp_susta,wp_suita,ownership,maintenance,WASH comm,decl_ODF,extrac_type,time_repair,chlorination
East,Kailahun,Upper Bambara,Giema,Giema,aaohjb8g,//akvoflow-110.s3.amazonaws.com/images/553567e8-6c50-4d9c-b3d3-7eeb78b0b679.jpg,Protected dug well,Yes – Functional (and in use),Seasonal,Yes,Community,Other community group,Yes,Don't know,Hand pump,Water point has never broken down,Yes
East,Kono,Gbense,Koidu City,NA Quarter,b19p77iq,//akvoflow-110.s3.amazonaws.com/images/2e608bfe-aff9-40b3-9c11-b61acca2f87c.jpg,Unprotected dug well,Yes – Functional (and in use),Always water,No,NGO,Local council,Yes,Yes,"Hand manual (e.g. rope pump, rope & bucket)",I don't know,No
East,Kailahun,Dea,Baiwala,Non,a71lqtbp,//akvoflow-110.s3.amazonaws.com/images/6e9ca954-77dd-4219-bf7f-6372661b9fc6.jpg,Protected dug well,Yes – Functional (and in use),Always water,Yes,Private Individual,Privat owner,No,No,"Hand manual (e.g. rope pump, rope & bucket)",Over a week,Yes
East,Kailahun,Kpeje West,Bunumbu two-dimensional,Váyanse Water Well,aff9dcxw,//akvoflow-110.s3.amazonaws.com/images/995ac3ab-d408-42bc-8ca0-dcbf68934cef.jpg,Unprotected dug well,Yes – Functional (and in use),Seasonal,Yes,Private Individual,Privat owner,No,No,"Hand manual (e.g. rope pump, rope & bucket)",More than a year,Yes
East,Kailahun,Mandu,Nyanyagohun,Non,a3np8pjm,//akvoflow-110.s3.amazonaws.com/images/0e0342e5-ce77-465e-88f5-4c11be355f49.jpg,Tube well or borehole,Yes – Functional (but not in use),Seasonal,Yes,Community,Other community group,No,No,Hand pump,Over a week,Yes
East,Kailahun,Luawa,Kailahun,Torkpombu Water point,ajrk9103,//akvoflow-110.s3.amazonaws.com/images/53881256-8508-4104-b30d-d8aaf79ee6a7.jpg,Protected dug well,Yes – Functional (and in use),Always water,Yes,Community,Other community group,Unknown,Don't know,Hand pump,Water point has never broken down,No
East,Kono,Sandor,kayima,hand dug well,bbv4bdoc,//akvoflow-110.s3.amazonaws.com/images/9ad4f7c1-dc68-4ad0-8baa-69a321da9833.jpg,Protected dug well,Yes – Functional (and in use),Seasonal,Yes,School,School,No,Yes,Hand pump,Less than a week,Yes
East,Kono,Sandor,Yormardu,Yormadu community pump,b5o9ncp3,//akvoflow-110.s3.amazonaws.com/images/b7f3eb3f-f93a-4074-9f7b-28d79e131184.jpg,Protected dug well,Yes – Functional (and in use),Dry always / Never water,Yes,Community,Other community group,No,No,Hand pump,I don't know,No
East,Kailahun,Jawie,New London,New London community,a78wwg6t,//akvoflow-110.s3.amazonaws.com/images/a5f6f644-c2ef-4224-9bf7-fc0c8e349058.jpg,Protected dug well,No - Broken down,Seasonal,Yes,Community,SALWACO,No,No,Hand pump,I don't know,Unkown
East,Kono,Sandor,Gbeicho,Gbeicho,bcedxdf4,//akvoflow-110.s3.amazonaws.com/images/7d3c55ec-e289-4340-8b22-7bad385afecb.jpg,Piped water into dwelling/plot/yard,Yes – Functional (and in use),Seasonal,Yes,Private Individual,Privat owner,Yes,Yes,,Water point has never broken down,
East,Kailahun,Upper Bambara,Pendembu,Pendembu,ac2ug86f,//akvoflow-110.s3.amazonaws.com/images/fcc4e33d-9d8f-43dd-856f-ea7bfdcdfa9e.jpg,Protected dug well,Yes – Functional (and in use),Always water,Yes,School,School,No,No,Hand pump,Water point has never broken down,Yes
East,Kailahun,Jawie,Goa,School water point,a4oclbjw,//akvoflow-110.s3.amazonaws.com/images/054e0a7c-cd04-4e79-bfce-6bef8c7fea6a.jpg,Protected dug well,Yes – Functional (and in use),Seasonal,Yes,School,School,Yes,No,Hand pump,Water point has never broken down,Yes
East,Kenema,Kenema City,Kondehbotihun,Mr Abdulai  Barrie,a2o6z5ni,//akvoflow-110.s3.amazonaws.com/images/8162b225-7279-40e2-854e-a698fe074028.jpg,Unprotected dug well,Yes – Functional (and in use),Always water,Yes,Private Individual,Privat owner,No,No,"Hand manual (e.g. rope pump, rope & bucket)",Water point has never broken down,Yes
East,Kailahun,Jawie,Tawovehun,Wosoma,a73cusx1,//akvoflow-110.s3.amazonaws.com/images/62640c15-0d1d-46ec-9ad7-0932f0864ea4.jpg,Protected dug well,No - Broken down,Always water,Yes,Community,SALWACO,No,No,Hand pump,More than a year,Yes
East,Kono,Nimikoro,Seidu,hand dug well,b4vjhev8,//akvoflow-110.s3.amazonaws.com/images/931e41b2-f0f4-4cca-9e14-e592c875c445.jpg,Protected dug well,Yes – Functional (and in use),Always water,Yes,School,School,Yes,No,Hand pump,Water point has never broken down,Yes
East,Kailahun,Upper Bambara,Pendembu,Pendembu,ac1wiiql,//akvoflow-110.s3.amazonaws.com/images/f9226ce2-1e47-4cb6-8cc5-d290f9199a84.jpg,Unprotected dug well,Yes – Functional (and in use),Always water,Yes,Private Individual,Privat owner,No,No,"Hand manual (e.g. rope pump, rope & bucket)",Water point has never broken down,No
East,Kailahun,Luawa,Kailahun,Kissitown  water  point,akd4m9vw,//akvoflow-110.s3.amazonaws.com/images/abf9c01b-0e43-4c72-b6a1-4fe136ecfac4.jpg,Unprotected dug well,Yes – Functional (and in use),Always water,No,Private Individual,Privat owner,No,Yes,"Hand manual (e.g. rope pump, rope & bucket)",More than a year,No
East,Kono,Sandor,Gbeicho,Gbeicho .,bcest7je,//akvoflow-110.s3.amazonaws.com/images/373e1323-4903-45f4-8c5a-720ae1ce2158.jpg,Piped water into dwelling/plot/yard,Yes – Functional (and in use),Seasonal,Yes,Private Individual,Privat owner,Yes,Yes,,Less than a week,
East,Kailahun,Kissi Teng,Baoma Kukuma,Baoma water point,aktzwdkv,//akvoflow-110.s3.amazonaws.com/images/cf7aba22-c190-4a1b-b0a3-37d4f3db5fa6.jpg,Protected dug well,Yes – Functional (and in use),Always water,Yes,Community,Other community group,No,No,Hand pump,More than a year,No
East,Kono,Tankoro,Senehun Village,Community Well,aw15c7hb,//akvoflow-110.s3.amazonaws.com/images/0002a51f-382d-42a4-8a2a-09128bf838c6.jpg,Protected dug well,Yes – Functional (and in use),Seasonal,Yes,Community,Other community group,Yes,Yes,Hand pump,More than a year,Yes
East,Kono,Nimikoro,Jaiama nimikoro,public Stand post,awv7qabe,//akvoflow-110.s3.amazonaws.com/images/e0e8e7d2-e6f7-4aa7-aa85-5b2f5b54e698.jpg,Public tap/standpipe (stand-alone or water kiosk,No - Broken down,Always water,Yes,Community,Other community group,No,No,Gravity,Less than a week,
East,Kono,Gbense,fadar,bore hole,b6xzuv1k,//akvoflow-110.s3.amazonaws.com/images/79c0e02f-2146-49fb-ae1a-1d711ce32e87.jpg,Protected dug well,Yes – Functional (and in use),Seasonal,Yes,Community,Other community group,No,Yes,Hand pump,Less than a week,Yes
East,Kono,Nimikoro,Wanjama,Public Stand Post,axcm2aji,//akvoflow-110.s3.amazonaws.com/images/db020acf-4b46-48aa-8557-d9ea92b04a7a.jpg,Public tap/standpipe (stand-alone or water kiosk,Yes – Functional (and in use),Always water,Yes,Community,Community,No,No,Gravity,Over a week,
East,Kono,Gbense,Baiama,Bore hole,b58sz0u2,//akvoflow-110.s3.amazonaws.com/images/6cc427e0-8637-4c08-b2cc-8ded45157d84.jpg,Tube well or borehole,Yes – Functional (and in use),Always water,Yes,Community,Other community group,No,No,Hand pump,Water point has never broken down,No
East,Kono,Nimikoro,Motema,Hand Dug Well,azkbrm0f,//akvoflow-110.s3.amazonaws.com/images/ffd61274-fc70-41e1-9fee-af353f551884.jpg,Protected dug well,No - Broken down,Seasonal,Yes,Community,Community,No,No,Hand pump,I don't know,Yes
East,Kono,Koidu City,Gbense Sinnah town,hand dug well,b1mzvpv6,//akvoflow-110.s3.amazonaws.com/images/85f9fd0b-0169-464b-bfcc-394c45f29fe1.jpg,Protected dug well,Yes – Functional (but not in use),Seasonal,Yes,Community,Other community group,No,No,Hand pump,Less than a week,No
East,Kono,Nimikoro,nyamdu,Bore hole,az0jp6x8,//akvoflow-110.s3.amazonaws.com/images/0e6a0ce6-9ea9-44be-a9ec-1895ded9a512.jpg,Tube well or borehole,Yes – Functional (and in use),Always water,Yes,Community,Other community group,No,No,Hand pump,I don't know,No
East,Kono,Gbense,gbukuma,hand dug well,b512xl0e,//akvoflow-110.s3.amazonaws.com/images/3984384c-4c35-4257-9c70-2206f893006e.jpg,Protected dug well,Yes – Functional (and in use),Always water,Yes,Community,Other community group,Yes,Yes,Hand pump,Less than a week,Unkown
East,Kailahun,Kpeje West,Moyamba,Peyama Well 4,aeu69oob,//akvoflow-110.s3.amazonaws.com/images/3a8b77c3-3b1f-4f7a-8b70-7f72cc2c28ea.jpg,Unprotected dug well,Yes – Functional (and in use),Always water,Yes,Private Individual,Privat owner,No,No,"Hand manual (e.g. rope pump, rope & bucket)",Water point has never broken down,No
East,Kono,Gorama Kono,Tokpumbu,Hand Dug Well,aqdg46kv,//akvoflow-110.s3.amazonaws.com/images/0998c958-5148-4022-9d09-c66985bd4de2.jpg,Protected dug well,Yes – Functional (but not in use),Always water,Yes,Community,Local council,Yes,No,Hand pump,Over a month,Yes
East,Kono,Nimikoro,Motema,Hand Dug Well,azl4cf17,//akvoflow-110.s3.amazonaws.com/images/1b45b83a-9c36-44ec-9c1b-567b39132c51.jpg,Protected dug well,Yes – Functional (and in use),Always water,Yes,Community,Community,No,No,Hand pump,Water point has never broken down,Yes
East,Kono,Nimikoro,Motema,Bore hole,aznnfqk5,//akvoflow-110.s3.amazonaws.com/images/fda4b1a9-2d5d-4137-8e54-ee06bc2790f3.jpg,Tube well or borehole,Yes – Functional (and in use),Seasonal,Yes,Community,NGO,No,No,Hand pump,Over a month,Yes
East,Kono,Gbane Kandor,Kunteh Village,R.C.Primary School Kunteh,b0lelcjl,//akvoflow-110.s3.amazonaws.com/images/063598d1-3ad5-4fe4-a470-c0bab4ab4344.jpg,Protected dug well,No - Broken down,Seasonal,Yes,School,Other community group,Yes,Yes,Hand pump,More than a year,No
East,Kailahun,Malema,Njeihun 2,community spring,a33nncxb,//akvoflow-110.s3.amazonaws.com/images/cb3b4ebb-8145-4944-9f8e-3a1b9240f801.jpg,Protected spring,Yes - But damaged,Always water,Yes,Community,WASH management committee,Yes,No,,Over a month,
East,Kailahun,Kissi Teng,Nyordu,AOG Primary School Pump,asyn1mi3,//akvoflow-110.s3.amazonaws.com/images/5cae4a42-dd1c-4384-a3b0-47e7af77b7ca.jpg,Protected dug well,Yes – Functional (but not in use),Always water,No,School,School,Yes,Yes,Hand pump,Water point has never broken down,Yes
East,Kenema,Gaura,Perrie,Kabala Water Point,9rvuzt9z,//akvoflow-110.s3.amazonaws.com/images/19e5bcce-e35e-4883-9dc4-06ca7c0bfb28.jpg,Public tap/standpipe (stand-alone or water kiosk,Yes – Functional (and in use),Seasonal,Yes,Community,Community,No,No,Gravity,Water point has never broken down,
East,Kenema,Gaura,Nydehun,Hand pump,9w5yovlx,//akvoflow-110.s3.amazonaws.com/images/350df808-bbe4-4442-9be8-e64f567c2173.jpg,Protected dug well,Yes - But damaged,Seasonal,Yes,Community,WASH management committee,Yes,Don't know,Hand pump,More than a year,Yes
East,Kenema,Lower Bambara,Saama,Saama community pump,atme0por,//akvoflow-110.s3.amazonaws.com/images/881f8cf7-6f61-4b6b-acd6-72c92f247587.jpg,,Yes – Functional (and in use),Seasonal,Yes,Community,WASH management committee,Yes,Yes,,,
East,Kono,,Kocheo,Kocheo school pump,bd75vk3o,//akvoflow-110.s3.amazonaws.com/images/514b3219-3446-4d0b-9a70-6f0aae40269c.jpg,Protected dug well,Yes – Functional (and in use),Seasonal,Yes,School,School,Yes,No,Hand pump,More than a year,No
East,Kailahun,Upper Bambara,Pendembu,Pendembu,achedoir,//akvoflow-110.s3.amazonaws.com/images/056ffe28-677d-4b43-be39-249b8fe8c299.jpg,Protected dug well,Yes – Functional (and in use),Always water,Yes,School,School,Yes,No,Hand pump,Less than a week,Yes
East,Kono,Gbense,Sahr Lebbie Street,Hand Dug Well,b12c9bbk,//akvoflow-110.s3.amazonaws.com/images/67dd81c2-589d-4177-94bd-ab0ebeeebc55.jpg,Protected dug well,Yes – Functional (and in use),Always water,Yes,Private Individual,Privat owner,Unknown,No,Submersible pump,Water point has never broken down,Yes
East,Kailahun,Kpeje West,Jokibu,Jokibu Well 1,adz74sd1,//akvoflow-110.s3.amazonaws.com/images/1f8c6158-4a8b-4711-a564-a0a19568f3ff.jpg,Protected dug well,Yes – Functional (and in use),Seasonal,Yes,Community,WASH management committee,Yes,No,Hand pump,Over a week,No
East,Kenema,Kenema City,nyandeyama,manzola compound water point,a1fr7fbk,//akvoflow-110.s3.amazonaws.com/images/2b7d8190-2da7-470b-9909-921794a9eaf6.jpg,Piped water into dwelling/plot/yard,Yes – Functional (and in use),Seasonal,Yes,Private Individual,Privat owner,No,Yes,,Over a week,
East,Kailahun,Kpeje West,Sajela,Sajela Well 1,ag0t565w,//akvoflow-110.s3.amazonaws.com/images/b1551f50-6df8-43cc-bd3c-9fc6f7df2a95.jpg,Protected dug well,Yes – Functional (and in use),Seasonal,Yes,Community,WASH management committee,Yes,No,Hand pump,Water point has never broken down,No
East,Kono,Gbense,Kwidadu,hand dug well,b4cvwfbv,//akvoflow-110.s3.amazonaws.com/images/cd007345-518c-4a13-9224-3a8993e8756b.jpg,Protected dug well,Yes – Functional (and in use),Always water,Yes,Community,Other community group,No,No,Hand pump,Water point has never broken down,Yes
East,Kenema,Koya,koya,catehun water point,a0mnxxs9,//akvoflow-110.s3.amazonaws.com/images/121c4475-ff56-4206-855c-a1148b277b7f.jpg,Protected dug well,No - Broken down,Dry always / Never water,Yes,Community,Other community group,No,No,Hand pump,I don't know,No
East,Kenema,Gaura,Sandaru,Gravity water supply,9wyo9dz7,//akvoflow-110.s3.amazonaws.com/images/34cc03a7-c812-4100-91d6-427e5c85c1cd.jpg,Public tap/standpipe (stand-alone or water kiosk,Yes – Functional (and in use),Always water,Yes,Community,Uknown,No,Don't know,Gravity,I don't know,
East,Kailahun,Yawei,Peyama,Peyama water point,anv5ytdn,//akvoflow-110.s3.amazonaws.com/images/1fe75f2d-eda3-4a21-91bf-61493cf1d74d.jpg,Public tap/standpipe (stand-alone or water kiosk,No - Broken down,Dry always / Never water,No,Community,WASH management committee,Yes,No,Hand pump,More than a year,
East,Kailahun,Mandu,Baiima,Baiima community,a8vw06u6,//akvoflow-110.s3.amazonaws.com/images/f0e72fab-9d45-4aef-90e1-ce96420eddc0.jpg,Public tap/standpipe (stand-alone or water kiosk,No - Broken down,Seasonal,Yes,Community,Other community group,Yes,No,Gravity,Over a month,
East,Kailahun,Kpeje West,Sajela,Well2 Sajela,afz3838u,//akvoflow-110.s3.amazonaws.com/images/9cd2edc5-04db-42ec-9505-2a95ec3c1bda.jpg,Protected dug well,Yes – Functional (and in use),Seasonal,Yes,Community,WASH management committee,Yes,No,Hand pump,Water point has never broken down,No
East,Kono,Nimikoro,Foukor,public Stand post,ay725b6h,//akvoflow-110.s3.amazonaws.com/images/dda67e74-d1af-4200-b0a1-c98dd5014ece.jpg,Public tap/standpipe (stand-alone or water kiosk,No - Broken down,Dry always / Never water,Yes,Community,Other community group,No,No,Gravity,More than a year,
East,Kailahun,Penguia,Njala,Kotuya,akz0w7us,//akvoflow-110.s3.amazonaws.com/images/23bb1bb1-f41a-46d3-996a-da927c7a6eb0.jpg,Unprotected dug well,Yes – Functional (and in use),Seasonal,Yes,Community,Community,Yes,Yes,Gravity,Water point has never broken down,No
East,Kono,Nimikoro,yengema,public Stand post,b03q52rn,//akvoflow-110.s3.amazonaws.com/images/49d1fc84-dd07-4f31-9715-b66513517dba.jpg,Public tap/standpipe (stand-alone or water kiosk,No - Broken down,Dry always / Never water,Yes,Community,mosque,No,No,Gravity,More than a year,
East,Kailahun,Kissi Kama,Jaah,Jaah waterpoint,any3cg0q,//akvoflow-110.s3.amazonaws.com/images/dd4ffa75-73ee-4f66-87c2-5c4d96f8c29e.jpg,Surface water (lake/river/stream),Yes – Functional (and in use),Seasonal,Yes,Community,Other community group,No,No,,,
East,Kailahun,Kissi Kama,Sepadu,Sepadu waterpoint,apu0jpno,//akvoflow-110.s3.amazonaws.com/images/9644efa1-f6d1-4a4e-b8d6-42ca997409f1.jpg,Protected dug well,No - Broken down,Always water,Yes,Community,Other community group,No,No,Hand pump,Over a month,No
East,Kono,Lei,Koima,Koima  water  pomp,bab0syqy,//akvoflow-110.s3.amazonaws.com/images/164a0441-f68e-435b-875b-9aa66095808b.jpg,Public tap/standpipe (stand-alone or water kiosk,Yes – Functional (and in use),Always water,Yes,Community,WASH management committee,Yes,Yes,Gravity,Less than a week,
East,Kailahun,Malema,Jojoima,Jojoima water point,a1x5jcjf,//akvoflow-110.s3.amazonaws.com/images/0a6bbe28-4776-44d9-b93f-700a3e576f71.jpg,Piped water into dwelling/plot/yard,Yes – Functional (and in use),Seasonal,Yes,Community,Other community group,No,Don't know,,Over a week,
East,Kono,Nimikoro,Jaiama Nimikoro,Public Stand Post,awe0jh6p,//akvoflow-110.s3.amazonaws.com/images/5fafe23b-1828-46b3-9f09-5cf9a7916177.jpg,Public tap/standpipe (stand-alone or water kiosk,No - Broken down,Dry always / Never water,Yes,Community,No management,No,Don't know,Gravity,Over a month,
East,Kono,Gbense,kaidu,hand dug well,b1tt6aw5,//akvoflow-110.s3.amazonaws.com/images/a27ecfeb-cd7d-4b24-8785-6656cde50ec1.jpg,Protected dug well,Yes – Functional (and in use),Always water,Yes,Community,Other community group,No,Yes,Hand pump,Less than a week,Yes
East,Kailahun,Mandu,Mobai,Mobai water point,a7axjbbu,//akvoflow-110.s3.amazonaws.com/images/f92924a2-e8f0-4ab6-b40d-bc5fc4077d02.jpg,Piped water into dwelling/plot/yard,Yes - But damaged,Seasonal,Yes,Community,Other community group,Yes,Don't know,,Over a month,
East,Kono,Nimikoro,bumpeh,hand,azqmlrw2,//akvoflow-110.s3.amazonaws.com/images/d6288481-30d0-4432-85b5-8b44b2aec8ca.jpg,Protected dug well,Yes – Functional (and in use),Always water,Yes,Community,Cansuyu,Unknown,Yes,Hand pump,Less than a week,Yes
East,Kailahun,Penguia,Kakelu,Samibu,ap9luv1j,//akvoflow-110.s3.amazonaws.com/images/832dd521-42aa-47cb-9011-3f15f4276057.jpg,Public tap/standpipe (stand-alone or water kiosk,Yes – Functional (and in use),Always water,Yes,Community,WASH management committee,Yes,No,Hand pump,Water point has never broken down,
East,Kailahun,Penguia,Ngodaman,Ngodame Well.1,aklciqve,//akvoflow-110.s3.amazonaws.com/images/90916538-348a-421a-b271-de6644d4ce08.jpg,Protected dug well,Yes – Functional (and in use),Seasonal,Yes,Community,Privat owner,No,No,Hand pump,Over a month,No
East,Kono,Nimikoro,fadehun,hand dug well,azt3wsu2,//akvoflow-110.s3.amazonaws.com/images/93a706b6-7a70-4931-9374-18f8ced21460.jpg,Protected dug well,No - Broken down,Seasonal,Yes,Community,NGO,Yes,Yes,Hand pump,Less than a week,Yes
East,Kailahun,Kissi Tongi,Mandopolahun,Mandopolahun Water point 2,ah8i4abm,//akvoflow-110.s3.amazonaws.com/images/c92f2d51-81ae-4379-8918-c452ddb07957.jpg,Protected dug well,Yes – Functional (but not in use),Seasonal,Yes,Community,Other community group,No,No,Hand pump,Over a month,No
East,Kailahun,Mandu,Baiima,Baiima water point,a91bad9b,//akvoflow-110.s3.amazonaws.com/images/37c995d1-139c-4ad9-b4cb-d9e471e7bb37.jpg,Piped water into dwelling/plot/yard,Yes – Functional (and in use),Seasonal,Yes,Community,Other Institution,Yes,Don't know,,Over a week,
East,Kailahun,Kissi Kama,Sangha,Sangha waterpoint,arftdor0,//akvoflow-110.s3.amazonaws.com/images/9d6e0b69-3d00-4c5f-90aa-bda54b86c90c.jpg,Protected dug well,Yes – Functional (and in use),Always water,Yes,Community,Other community group,Yes,No,Hand pump,Water point has never broken down,Yes
East,Kono,Sandor,Bendu,Bendu Community hand pump,b32t6tsw,//akvoflow-110.s3.amazonaws.com/images/2932ab23-b849-4f50-b079-fdc6d81bddf3.jpg,Protected dug well,Yes – Functional (and in use),Seasonal,No,Community,NGO,Yes,Yes,Hand pump,Over a month,No
East,Kailahun,Kissi Tongi,Dawa,Dawa Water Point,ajejou0u,//akvoflow-110.s3.amazonaws.com/images/ace20869-dd6a-4292-ad32-0d45303803d6.jpg,Unprotected dug well,Yes – Functional (but not in use),Seasonal,Yes,Community,Other community group,No,No,Hand pump,More than a year,No
East,Kono,Nimikoro,Njala,Stand Post,axqe0dcy,//akvoflow-110.s3.amazonaws.com/images/9ce7c6bd-f424-4a9b-b6dc-80bf6f15b6ca.jpg,Public tap/standpipe (stand-alone or water kiosk,Yes – Functional (and in use),Always water,Yes,Community,Local council,Unknown,No,Gravity,Over a week,
East,Kailahun,Luawa,Kailahun,Yambasu Compound water point,akbep705,//akvoflow-110.s3.amazonaws.com/images/9340f86c-5e30-41a5-9307-fafa39da9b3f.jpg,Unprotected dug well,Yes – Functional (and in use),Dry always / Never water,Yes,Private Individual,Privat owner,No,Yes,"Hand manual (e.g. rope pump, rope & bucket)",Water point has never broken down,Yes
East,Kenema,Kenema City,nyandeyama,amadu jalloh stand pipe,a1r77dxi,//akvoflow-110.s3.amazonaws.com/images/28ce7256-73f2-4fa2-a720-00b5a88462a0.jpg,Public tap/standpipe (stand-alone or water kiosk,Yes – Functional (and in use),Seasonal,Yes,Private Individual,Privat owner,No,No,Hand pump,Less than a week,
East,Kailahun,Luawa,Yandowahun,SLMB waterpoint,aiju2xip,//akvoflow-110.s3.amazonaws.com/images/f3b3b628-ff15-4020-a5cb-460797258173.jpg,Protected dug well,No - Broken down,Always water,Yes,School,School,No,No,Hand pump,More than a year,Yes
East,Kailahun,Malema,Jojoima,Jojoima,a1uq0ml7,//akvoflow-110.s3.amazonaws.com/images/01448ff6-046f-4936-862f-add86b5b8ba9.jpg,Public tap/standpipe (stand-alone or water kiosk,No - Broken down,Seasonal,Yes,Community,Other community group,Yes,No,Gravity,More than a year,
East,Kailahun,Penguia,kono Bendu,RC Primary School Kono Bendu Well,aqmh6rzd,//akvoflow-110.s3.amazonaws.com/images/d391b60c-dee6-497e-911b-0e6c33b90126.jpg,Protected dug well,No - Broken down,Seasonal,Yes,School,No management,No,No,Hand pump,I don't know,No
East,Kono,Fiama,Musayah,Stand Post,b3xnk60z,//akvoflow-110.s3.amazonaws.com/images/074675d4-4589-468e-8fdf-d39ac6716371.jpg,Public tap/standpipe (stand-alone or water kiosk,Yes – Functional (and in use),Always water,Yes,Community,Community,Unknown,No,Gravity,I don't know,
East,Kailahun,Kissi Teng,Kangama,Borlu water point,an4scbtc,//akvoflow-110.s3.amazonaws.com/images/2be95704-b56f-468c-a6ce-41169955f8cc.jpg,Protected dug well,Yes – Functional (and in use),Always water,Yes,Community,Other community group,No,No,Hand pump,Over a week,No
