District,Chiefdom,Section,Community,Community Name,7430032|Water point Name,2420047|Latitude,--GEOLON--|Longitude,--GEOELE--|Elevation,--GEOCODE--|Geo Code,Photo,|Type of water point,Extraction system type,Pump type,Number of taps at this point,Are you able to measure the depth of well?,Measure the depth of the well (in metres),Water point Functionality,When did the water point break down?,"Last time the water point broke down, how long did it take to repair?",Is/was this point monthly or regularly chlorinated?,Does this Water point have any damage?,Is water available throughout the year?,"During the seasonal drought of the well, how long is it not available? (months)",Is/was this point used for drinking water,Why is this point not used for drinking water?,Is the water paid for at this point?,How reliable is the water point?,Is the water clean or is there a quality problem?,Year of construction,Installer / implementing agency,Others Installer / implementing agency,Who owns the water point?,Who is maintaining the water point (routine repairs)?,Is there a WASH management committee?,Is the WASH management committee functioning?,Is there a trained mechanic available at this point?,Were trained mechanics provided with toolkits?,How many minutes does it take to reach the nearest spare part supplier?,Has the community been declared ODF?,Do you think the community is still ODF?,Are there functioning latrines in this village?,Do the latrines have handwashing facilities?,Are there trained natural ODF leaders in this community?,Are the trained natural ODF leaders performing their role effectively?,Observations about toilet,Observe presence of water at the specific place for hand washing,Observe what device is present for hand washing,Record if soap or detergent is present at the specific place for hand washing
West ,Western Urban,West III,Pipeline/Wilkinson,PipelineWilkimson,11 Pipe Line,8.4816471,-13.26816754,48,atn30x8p,https://akvoflow-110.s3.amazonaws.com/images/a2c4a976-38aa-40be-81a1-23ff20b933c9.jpg,2:Protected dug well,"7:Hand manual (e.g. rope pump, rope & bucket)",,,2:No,,1:Yes – Functional (and in use),,6:I don't know,Yes,9:No Damages,Always water,,2:No,taste salty,1:No payment – its free,"1:Good, practically always",3:Salty,2009,Private,,8:Private Individual,3:Privat owner,2:No,,No,,30,No,,,,,,6:Toilet looks good,2:Water is not available,1:No device present,5:None
West ,Western Rural ,York Rural,Sattia/Tombo,Tombo,looking town water points thirty four,8.217891015863323,-13.100293227538684,54.4,ahiw13p6,https://akvoflow-110.s3.amazonaws.com/images/0c0124a5-15e5-42e9-8da1-454a34b67f49.jpg,7:Piped water into dwelling/plot/yard,,,One,,,1:Yes – Functional (and in use),,2:Less than a week,,9:No Damages,Seasonal,3,1:Yes,,1:No payment – its free,"1:Good, practically always",1:Crystal clear,2012,Private,private,8:Private Individual,3:Privat owner,2:No,,Yes,1:Yes,65,No,,,,,,6:Toilet looks good,2:Water is not available,1:No device present,5:None
West ,Western Urban,East III,Portee,portee,Gadefee welk,8.48001713,-13.24944107,95,atkdz9hq,https://akvoflow-110.s3.amazonaws.com/images/61b9faa9-7ab6-4835-9f6c-3926ed32bf2a.jpg,2:Protected dug well,1:Hand pump,9:India Mark II,,1:Yes,15,1:Yes – Functional (and in use),,3:Over a week,Yes,1:Damaged Well|2:Damaged Apron|3:Damaged Pump,Dry always / Never water,,1:Yes,,1:No payment – its free,"1:Good, practically always",1:Crystal clear,1996,Other,private Relious leader,7:Other Institution,OTHER:Muslim Jammat,1:Yes,1:Yes,No,,10,No,,,,,,,,,
West ,Western Urban,East II,Foulah Town,Foulah town,5,8.48663006,-13.22507867,69,atvc47ru,https://akvoflow-110.s3.amazonaws.com/images/31a5970b-b157-440e-8399-cbec1142e0dd.jpg,7:Piped water into dwelling/plot/yard,,,one,,,1:Yes – Functional (and in use),,1:Water point has never broken down,,9:No Damages,Always water,,1:Yes,,"4:Yes, Flat rate (LE/HH/month)",2:Reasonable (< 7 days per month no supply),1:Crystal clear,2014,Private,GVWC,8:Private Individual,3:Privat owner,2:No,,No,,15,No,,,,,,6:Toilet looks good,1:Water is available,5:Water kettle/cooler,1:Bar soap
West ,Western Rural ,Waterloo Rural,Waterlooo Campbell Town,Campbell town,One,8.30753367241473,-13.051151910377891,51.1,aln4ypzj,https://akvoflow-110.s3.amazonaws.com/images/70adf285-1c3e-40bb-9ae8-58cd1c39aa64.jpg,2:Protected dug well,1:Hand pump,9:India Mark II,,2:No,,1:Yes – Functional (and in use),,4:Over a month,No,2:Damaged Apron|6:Damaged Concrete|7:Damaged Tank|OTHER:damage drainage,Always water,,1:Yes,,OTHER:per container,"1:Good, practically always",1:Crystal clear,2005,CONCERN,living water,1:Community,1:WASH management committee,1:Yes,1:Yes,Yes,1:Yes,48,No,,,,,,7:No toilet in household / not applicable,2:Water is not available,1:No device present,5:None
West ,Western Urban,East III,Allen Town II,temene town,78a temene town,8.408728279173374,-13.15451399423182,195.4,aqahk15l,https://akvoflow-110.s3.amazonaws.com/images/ebec1f4d-54a5-4afa-95dc-1f95fe974fca.jpg,6:Public tap/standpipe (stand-alone or water kiosk,5:Gravity,,2,,,3:Yes - But damaged,,4:Over a month,,3:Damaged Pump|4:Damaged Pipe,Dry always / Never water,,1:Yes,,1:No payment – its free,"1:Good, practically always",1:Crystal clear,2013,Government,community,1:Community,1:WASH management committee,1:Yes,1:Yes,Yes,1:Yes,180,Yes,Yes,Yes,No,Yes,Yes,1:Visible faecal residues around the drop hole or basin|6:Toilet looks good,1:Water is available,1:No device present,5:None
West ,Western Rural ,Waterloo Rural,Waterloo Benguema,MacDonald,MacDonald water points fourteen,8.282345022547208,-13.079654218001446,13.6,akhh7td8,https://akvoflow-110.s3.amazonaws.com/images/88d6f4a1-f50c-472e-94b8-d104f1bcc7a7.jpg,1:Protected spring,,,,,,1:Yes – Functional (and in use),,2:Less than a week,,OTHER:Not flowing because of damage of pipes to the mains,Always water,,1:Yes,,1:No payment – its free,"1:Good, practically always",1:Crystal clear,2011,WHH/ German Agro Action,Private,5:School,6:School,2:No,,Yes,1:Yes,90,No,,,,,,1:Visible faecal residues around the drop hole or basin|2:Visible faecal residues on the floor-wall or door|3:Visible used anal cleaning material(e.g. Toilet paper)|4:Surface flow of sewage|5:The toilet smells bad,2:Water is not available,1:No device present,5:None
West ,Western Urban,West III,Pipeline/Wilkinson,pipeline/Wilkinson,Building Sitea,8.47401538,-13.2728384,115,atagr6pk,https://akvoflow-110.s3.amazonaws.com/images/78a40dcb-cbca-4efd-a239-3037016ad233.jpg,7:Piped water into dwelling/plot/yard,,,1,,,3:Yes - But damaged,,5:More than a year,,2:Damaged Apron|4:Damaged Pipe|5:Damaged Tap|6:Damaged Concrete,Always water,,1:Yes,,"4:Yes, Flat rate (LE/HH/month)",3:Insufficient (> 7 days per month no supply),1:Crystal clear,1987,,,8:Private Individual,3:Privat owner,2:No,,No,,45,No,,,,,,6:Toilet looks good,2:Water is not available,1:No device present,5:None
West ,Western Rural ,Waterloo Rural,Waterloo Benguema,Russell,Tap water,8.24166749,-13.08188197,101,aim78ghu,https://akvoflow-110.s3.amazonaws.com/images/cdf2e17e-2ac2-4186-8cd4-842bfb60a792.jpg,6:Public tap/standpipe (stand-alone or water kiosk,1:Hand pump,2:Bucket,8,,,2:Yes – Functional (but not in use),,4:Over a month,,4:Damaged Pipe|8:Damaged Reservoir,Seasonal,7,1:Yes,,1:No payment – its free,3:Insufficient (> 7 days per month no supply),,2009,Government,NacsA,1:Community,1:WASH management committee,1:Yes,2:No,Yes,1:Yes,30,No,,,,,,7:No toilet in household / not applicable,2:Water is not available,1:No device present,5:None
West ,Western Urban,West I,Kroo Town,Krootown,12,8.480147123336792,-13.242854475975037,63,atklpwb0,https://akvoflow-110.s3.amazonaws.com/images/e8d17a01-1661-4be8-bbde-083f4e1fe9ee.jpg,6:Public tap/standpipe (stand-alone or water kiosk,OTHER:run through tap,,1,,,4:No - Broken down,3:Within the year,1:Water point has never broken down,,5:Damaged Tap|OTHER:null,Dry always / Never water,,9999:Uknown,,,,,2014,Government,GVWC,1:Community,2:Other community group,2:No,,No,,35,No,,,,,,6:Toilet looks good,1:Water is available,5:Water kettle/cooler,1:Bar soap
West ,Western Urban,West I,Kroo Town,KROOTOWN,8,8.48101268,-13.24194218,71,atm1ilxf,https://akvoflow-110.s3.amazonaws.com/images/eb03f4c8-02e6-4718-98f6-20a02b80b56d.jpg,7:Piped water into dwelling/plot/yard,,,1,,,3:Yes - But damaged,,5:More than a year,,OTHER:NO CONNECTION FROM THE MAINS,Dry always / Never water,,2:No,QUALITY PROBLEM,5:Only after system breakdown,3:Insufficient (> 7 days per month no supply),"2:Coloured (e.g. whitish, brown, green)",1997,GVWC,,8:Private Individual,3:Privat owner,2:No,,No,,25,Yes,Yes,Yes,Yes,No,,6:Toilet looks good,1:Water is available,3:Bucket,3:Liquid soap
West ,Western Urban,Central II,Sanders Brook,Sanders broook,nine,8.47978705,-13.23683261,68,atk0aahc,https://akvoflow-110.s3.amazonaws.com/images/b99c7de6-a876-496a-9d81-2de604b876a9.jpg,7:Piped water into dwelling/plot/yard,,,one,,,1:Yes – Functional (and in use),,1:Water point has never broken down,,9:No Damages,Always water,,2:No,water quality,"4:Yes, Flat rate (LE/HH/month)",3:Insufficient (> 7 days per month no supply),"2:Coloured (e.g. whitish, brown, green)",1985,Private,GVWC,8:Private Individual,3:Privat owner,2:No,,Yes,1:Yes,40,No,,,,,,6:Toilet looks good,1:Water is available,3:Bucket,2:Detergent (Powder / Liquid / Paste)
West ,Western Urban,Central II,Sanders Brook,Sanders brook,seven,8.47965603,-13.23700717,90,atjsjnma,https://akvoflow-110.s3.amazonaws.com/images/ab797e04-5e64-4cae-8f92-76d5d3c2713c.jpg,7:Piped water into dwelling/plot/yard,,,one,,,1:Yes – Functional (and in use),,1:Water point has never broken down,,9:No Damages,Always water,,1:Yes,,"4:Yes, Flat rate (LE/HH/month)",3:Insufficient (> 7 days per month no supply),1:Crystal clear,2015,Private,GVWC,8:Private Individual,3:Privat owner,2:No,,Yes,1:Yes,45,No,,,,,,6:Toilet looks good,1:Water is available,3:Bucket,1:Bar soap
West ,Western Urban,East II, Ashobi Corner,coal water,44 off blackhall road,8.477039452061268,-13.21420763186411,263.1,atfgk2y6,https://akvoflow-110.s3.amazonaws.com/images/64c230f0-85f5-4f66-b414-947db66d3e51.jpg,2:Protected dug well,"7:Hand manual (e.g. rope pump, rope & bucket)",,,2:No,,1:Yes – Functional (and in use),,1:Water point has never broken down,Yes,9:No Damages,Seasonal,3,1:Yes,,"2:Yes, Per jerrican 20L",3:Insufficient (> 7 days per month no supply),1:Crystal clear,2014,Private,private,2:NGO,3:Privat owner,2:No,,No,,120,No,,,,,,6:Toilet looks good,2:Water is not available,1:No device present,5:None
West ,Western Urban,Central II,Sanders Brook,Sanders brook,three,8.47946484,-13.23722948,60,atjh8f4k,https://akvoflow-110.s3.amazonaws.com/images/cb1fedfb-6b5d-4779-9519-b200dbc4c58a.jpg,7:Piped water into dwelling/plot/yard,,,one,,,1:Yes – Functional (and in use),,1:Water point has never broken down,,9:No Damages,Always water,,1:Yes,,"4:Yes, Flat rate (LE/HH/month)",3:Insufficient (> 7 days per month no supply),1:Crystal clear,2000,Private,GVWC,8:Private Individual,3:Privat owner,2:No,,No,,30,No,,,,,,6:Toilet looks good,1:Water is available,5:Water kettle/cooler,1:Bar soap
West ,Western Urban,Central II,Sanders Brook,Sanders brook,four,8.47946886,-13.23722987,71,atjh8f4k,https://akvoflow-110.s3.amazonaws.com/images/094374a5-a05d-473b-bd81-03acc425e812.jpg,7:Piped water into dwelling/plot/yard,,,two,,,1:Yes – Functional (and in use),,1:Water point has never broken down,,9:No Damages,Seasonal,3,2:No,water quality,"4:Yes, Flat rate (LE/HH/month)",3:Insufficient (> 7 days per month no supply),"2:Coloured (e.g. whitish, brown, green)",1995,Private,GVWC,8:Private Individual,3:Privat owner,2:No,,Yes,1:Yes,40,No,,,,,,6:Toilet looks good,1:Water is available,3:Bucket,1:Bar soap
West ,Western Urban,West I,Kingtom,KINGTOM,KINGTOM,8.48725975,-13.24210127,58,atwd13et,https://akvoflow-110.s3.amazonaws.com/images/69a9e4fd-cdfd-4fb1-86e8-64a7c91947ff.jpg,7:Piped water into dwelling/plot/yard,,,1,,,1:Yes – Functional (and in use),,1:Water point has never broken down,,9:No Damages,Seasonal,6,1:Yes,,"4:Yes, Flat rate (LE/HH/month)",2:Reasonable (< 7 days per month no supply),"2:Coloured (e.g. whitish, brown, green)",2001,GVWC,GVWC,8:Private Individual,1:WASH management committee,1:Yes,1:Yes,Yes,1:Yes,30,No,,,,,,6:Toilet looks good,1:Water is available,3:Bucket,1:Bar soap
West ,Western Rural ,Waterloo Rural,Waterloo Benguema,Tombo,public tap,8.21601404,-13.09712345,54.2,ahfs3ly3,https://akvoflow-110.s3.amazonaws.com/images/5390a5a4-2276-4e5f-9b5c-18c4f3f9d5d7.jpg,6:Public tap/standpipe (stand-alone or water kiosk,1:Hand pump,2:Bucket,23,,,1:Yes – Functional (and in use),,4:Over a month,,2:Damaged Apron|6:Damaged Concrete,Always water,,1:Yes,,1:No payment – its free,"1:Good, practically always",1:Crystal clear,2000,Government,SALWACO,1:Community,3:Privat owner,1:Yes,99:Don't know,Yes,999:Don't know,2,Don't know,,,,,,1:Visible faecal residues around the drop hole or basin|5:The toilet smells bad,2:Water is not available,1:No device present,5:None
West ,Western Rural ,Waterloo Rural,Jui-Grafton,kossoh town,pa peter compound Main motor Road Kossoh town,8.38630168,-13.14679624,78,ap9eq6tn,https://akvoflow-110.s3.amazonaws.com/images/9d88b751-4e85-42cc-9ad1-a475398311d1.jpg,6:Public tap/standpipe (stand-alone or water kiosk,5:Gravity,,1,,,2:Yes – Functional (but not in use),,2:Less than a week,,9:No Damages,Seasonal,4,2:No,Sometimes waer is turbid,1:No payment – its free,3:Insufficient (> 7 days per month no supply),,2014,:Don't know,,8:Private Individual,3:Privat owner,2:No,,No,,45,Don't know,,,,,,6:Toilet looks good,2:Water is not available,3:Bucket,2:Detergent (Powder / Liquid / Paste)
West ,Western Rural ,Waterloo Rural,Waterloo Benguema,feeders driver,feeders driver,8.31628443,-13.07035873,41,am1lx0gf,https://akvoflow-110.s3.amazonaws.com/images/9b497338-dc5b-409e-b6cc-504780413976.jpg,2:Protected dug well,1:Hand pump,9:India Mark II,,2:No,,1:Yes – Functional (and in use),,5:More than a year,No,6:Damaged Concrete,Always water,,1:Yes,,1:No payment – its free,"1:Good, practically always",1:Crystal clear,2015,Religious Group,living Water,2:NGO,2:Other community group,2:No,,Yes,2:No,30,No,,,,,,6:Toilet looks good,2:Water is not available,1:No device present,5:None
West ,Western Rural ,Waterloo Rural,Waterloo Benguema,Tombo,public tap,8.21629587,-13.09700148,52.8,ahg8rqvu,https://akvoflow-110.s3.amazonaws.com/images/f5440a0d-5636-4d7b-a771-b1654004ad54.jpg,6:Public tap/standpipe (stand-alone or water kiosk,1:Hand pump,2:Bucket,22,,,1:Yes – Functional (and in use),,4:Over a month,,6:Damaged Concrete,Always water,,1:Yes,,1:No payment – its free,"1:Good, practically always",1:Crystal clear,2000,Government,SALWACO,1:Community,3:Privat owner,1:Yes,99:Don't know,Yes,999:Don't know,2,Don't know,,,,,,1:Visible faecal residues around the drop hole or basin|5:The toilet smells bad,2:Water is not available,3:Bucket,5:None
West ,Western Rural ,Waterloo Rural,Waterloo Benguema,Tombo Kulafai,Indian mac,8.21243928,-13.10218301,72.7,ah9uyff1,https://akvoflow-110.s3.amazonaws.com/images/d4b26932-7933-4b9a-aedc-f06a6ce0fd4d.jpg,2:Protected dug well,1:Hand pump,4:India Mark,,2:No,,5:No - Still under construction,,6:I don't know,Unkown,5:Damaged Tap,Seasonal,4,1:Yes,,,,,2016,Private,Private,5:School,6:School,1:Yes,99:Don't know,Unknown,,3,Don't know,,,,,,1:Visible faecal residues around the drop hole or basin|5:The toilet smells bad,2:Water is not available,1:No device present,5:None
West ,Western Urban,West III,Pipeline/Wilkinson,Pipeline Wilkinson Road,1 Lower Pipe Line,8.47530963,-13.27330027,75,atclk3r1,https://akvoflow-110.s3.amazonaws.com/images/8484a68d-997d-4eb1-9680-f3fbca309d89.jpg,7:Piped water into dwelling/plot/yard,,,1,,,1:Yes – Functional (and in use),,6:I don't know,,9:No Damages,Always water,,1:Yes,,"4:Yes, Flat rate (LE/HH/month)",3:Insufficient (> 7 days per month no supply),1:Crystal clear,2006,Private,,8:Private Individual,3:Privat owner,3:Unknown,,Yes,2:No,30,Don't know,,,,,,3:Visible used anal cleaning material(e.g. Toilet paper)|6:Toilet looks good,1:Water is available,2:Tap,1:Bar soap
West ,Western Rural ,Waterloo Rural,Waterloo Benguema,Middle town,middle town waterpoint,8.300065699370025,-13.079142376423396,15,alas7xbb,https://akvoflow-110.s3.amazonaws.com/images/ff1282ba-286b-456e-b7c4-50e1d4eda646.jpg,3:Tube well or borehole,2:Submersible pump,,,2:No,,4:No - Broken down,2:Within the last month,4:Over a month,No,5:Damaged Tap|OTHER:Pump head and solar stolen,Seasonal,2,1:Yes,,,,,2011,Community,Philip Neville,1:Community,OTHER:Community,2:No,,No,,120,No,,,,,,6:Toilet looks good,2:Water is not available,4:Sink,5:None
West ,Western Urban,East II,Magazine,Magazine wharf,one,8.48923198,-13.22490577,68,atzmwx21,https://akvoflow-110.s3.amazonaws.com/images/5763ee78-641c-48f1-90b5-e3905c1e93cb.jpg,7:Piped water into dwelling/plot/yard,,,three,,,3:Yes - But damaged,,4:Over a month,,4:Damaged Pipe|5:Damaged Tap,Seasonal,5,1:Yes,,"4:Yes, Flat rate (LE/HH/month)",3:Insufficient (> 7 days per month no supply),OTHER:some time water get particle,1950,Private,GVWC,8:Private Individual,3:Privat owner,2:No,,No,,20,No,,,,,,6:Toilet looks good,1:Water is available,5:Water kettle/cooler,1:Bar soap
West ,Western Urban,West III,Aberdeen,Aberdeen,31 Kincardine,8.49392054,-13.28251031,70,au7e587t,https://akvoflow-110.s3.amazonaws.com/images/0618fc21-34f3-403e-a86b-6d074d538ae9.jpg,7:Piped water into dwelling/plot/yard,,,1,,,4:No - Broken down,4:Over a year ago,6:I don't know,,2:Damaged Apron|4:Damaged Pipe|5:Damaged Tap|6:Damaged Concrete,Dry always / Never water,,1:Yes,,,,,1988,Private,,8:Private Individual,3:Privat owner,2:No,,No,,120,No,,,,,,1:Visible faecal residues around the drop hole or basin|5:The toilet smells bad,2:Water is not available,1:No device present,5:None
West ,Western Rural ,Waterloo Rural,Waterloo Benguema,MacDonald,MacDonald water point nine,8.280363131018781,-13.079533717770744,83.3,ake7bzl7,https://akvoflow-110.s3.amazonaws.com/images/0f6b705d-2032-4710-bad4-8cb87d5ece88.jpg,6:Public tap/standpipe (stand-alone or water kiosk,"7:Hand manual (e.g. rope pump, rope & bucket)",,One,,,2:Yes – Functional (but not in use),,2:Less than a week,,OTHER:Water not flowing,Seasonal,1,1:Yes,,1:No payment – its free,3:Insufficient (> 7 days per month no supply),,2015,WHH/ German Agro Action,Private,8:Private Individual,3:Privat owner,2:No,,Yes,2:No,90,No,,,,,,1:Visible faecal residues around the drop hole or basin|2:Visible faecal residues on the floor-wall or door|3:Visible used anal cleaning material(e.g. Toilet paper)|4:Surface flow of sewage|5:The toilet smells bad,1:Water is available,1:No device present,5:None
West ,Western Urban,West III,Murray Town,Murray Town,MQ 20,8.49148339,-13.26172773,17,au3cvgg9,https://akvoflow-110.s3.amazonaws.com/images/6ce11662-90d1-4689-862a-d042eb918bb5.jpg,7:Piped water into dwelling/plot/yard,,,1,,,1:Yes – Functional (and in use),,4:Over a month,,9:No Damages,Always water,,1:Yes,,"4:Yes, Flat rate (LE/HH/month)",3:Insufficient (> 7 days per month no supply),1:Crystal clear,2012,Private,,8:Private Individual,3:Privat owner,2:No,,No,,50,No,,,,,,6:Toilet looks good,2:Water is not available,1:No device present,5:None
West ,Western Urban,East I,Kossoh Town,Kosoh town,12 malta lane,8.48741216,-13.2182046,62.2,atwmk0wm,https://akvoflow-110.s3.amazonaws.com/images/6336c48c-c3d1-4e40-b2bd-fe16af3c6b50.jpg,7:Piped water into dwelling/plot/yard,,,One,,,4:No - Broken down,4:Over a year ago,6:I don't know,,3:Damaged Pump|4:Damaged Pipe|5:Damaged Tap|6:Damaged Concrete,Dry always / Never water,,1:Yes,,,,,1999,GVWC,GVWC,8:Private Individual,3:Privat owner,3:Unknown,,No,,35,Don't know,,,,,,1:Visible faecal residues around the drop hole or basin|5:The toilet smells bad,2:Water is not available,1:No device present,5:None
